expression,reading,meaning,tags
高尚,こうしょう,"high, noble, refined",JLPT N1
向上,こうじょう,"rise, improvement, progress",JLPT N1
行進,こうしん,"march, parade",JLPT N1
香辛料,こうしんりょう,spices,JLPT N1
降水,こうすい,"rainfall, precipitation",JLPT N1
洪水,こうずい,flood,JLPT N1
合成,ごうせい,"synthetic, mixed",JLPT N1
公然,こうぜん,openly,JLPT N1
抗争,こうそう,"dispute, resistance",JLPT N1
構想,こうそう,"plan, plot, idea, conception",JLPT N1
後退,こうたい,"retreat, backspace",JLPT N1
光沢,こうたく,"luster, glossy finish (of photographs)",JLPT N1
公団,こうだん,public corporation,JLPT N1
好調,こうちょう,"satisfactory, in good shape",JLPT N1
口頭,こうとう,oral,JLPT N1
講読,こうどく,reading,JLPT N1
購読,こうどく,subscription,JLPT N1
購入,こうにゅう,"purchase, buy",JLPT N1
公認,こうにん,"official recognition, authorization",JLPT N1
光熱費,こうねつひ,cost of fuel and light,JLPT N1
購買,こうばい,"purchase, buy",JLPT N1
好評,こうひょう,"popularity, favorable reputation",JLPT N1
交付,こうふ,"delivering, furnishing (with copies)",JLPT N1
公募,こうぼ,"public appeal, public contribution",JLPT N1
巧妙,こうみょう,"ingenious, skillful, clever",JLPT N1
公用,こうよう,"government business, public use, public expense",JLPT N1
小売,こうり,retail,JLPT N1
効率,こうりつ,efficiency,JLPT N1
公立,こうりつ,public institution,JLPT N1
護衛,ごえい,"guard, convoy, escort",JLPT N1
コーナー,コーナー,corner,JLPT N1
小柄,こがら,"small, diminutive",JLPT N1
小切手,こぎって,"cheque, check",JLPT N1
国産,こくさん,domestic products,JLPT N1
国定,こくてい,"state-sponsored, national",JLPT N1
告白,こくはく,"confession, acknowledgment",JLPT N1
国防,こくぼう,national defense,JLPT N1
国有,こくゆう,national ownership,JLPT N1
極楽,ごくらく,paradise,JLPT N1
国連,こくれん,"U.N., United Nations",JLPT N1
焦げ茶,こげちゃ,dark brown,JLPT N1
語源,ごげん,"word root, word derivation, etymology",JLPT N1
心地,ここち,"feeling, sensation, mood",JLPT N1
心得,こころえ,"knowledge, information",JLPT N1
心掛け,こころがけ,"readiness, intention, aim",JLPT N1
心掛ける,こころがける,"to bear in mind, to aim to do",JLPT N1
志,こころざし,"will, intention, motive",JLPT N1
志す,こころざす,"to plan, to intend, to aspire to",JLPT N1
心強い,こころづよい,"heartening, reassuring",JLPT N1
心細い,こころぼそい,"helpless, hopeless, discouraging",JLPT N1
試み,こころみ,"trial, experiment",JLPT N1
試みる,こころみる,"to try, to test",JLPT N1
快い,こころよい,"pleasant, agreeable",JLPT N1
誤差,ごさ,error,JLPT N1
ございます (かん),ございます (かん),"to be (polite, to exist)",JLPT N1
孤児,こじ,orphan,JLPT N1
こじれる,こじれる,"to get complicated, to grow worse",JLPT N1
こす (みずを～),こす (みずを～),"to strain, to filter",JLPT N1
梢,こずえ,treetop,JLPT N1
個性,こせい,"individuality, personality, idiosyncrasy",JLPT N1
戸籍,こせき,"census, family register",JLPT N1
古代,こだい,ancient times,JLPT N1
こたつ,こたつ,"table with heater, (originally) charcoal brazier in a floor well",JLPT N1
こだわる,こだわる,"to fuss over, to be particular about",JLPT N1
誇張,こちょう,exaggeration,JLPT N1
こつ (をつかむ),こつ (をつかむ),"secret, trick, hang",JLPT N1
滑稽,こっけい,"funny, humorous, comical",JLPT N1
国交,こっこう,diplomatic relations,JLPT N1
骨董品,こっとうひん,curio,JLPT N1
固定,こてい,"fixation, fixing (e.g., salary, capital)",JLPT N1
事柄,ことがら,"matter, thing, affair, circumstance",JLPT N1
孤独,こどく,"isolation, loneliness, solitude",JLPT N1
ことごとく,ことごとく,"altogether, entirely",JLPT N1
言付け,ことづけ,to leave a message,JLPT N1
殊に,ことに,"especially, above all",JLPT N1
粉々,こなごな,in very small pieces,JLPT N1
好ましい,このましい,"nice, likable, desirable",JLPT N1
碁盤,ごばん,Go board,JLPT N1
個別,こべつ,particular case,JLPT N1
ごまかす,ごまかす,"to deceive, to falsify, to misrepresent",JLPT N1
細やか,こまやか,"meager, modest",JLPT N1
コマーシャル,コマーシャル,a commercial,JLPT N1
込める,こめる,"to include, to put into",JLPT N1
コメント,コメント,comment,JLPT N1
籠もる,こもる,"to seclude oneself, to be confined in",JLPT N1
固有,こゆう,"characteristic, tradition, peculiar",JLPT N1
暦,こよみ,"calendar, almanac",JLPT N1
凝らす,こらす,"to concentrate, to devote, to peer into",JLPT N1
ごらんなさい (かん),ごらんなさい (かん),"look, (please) try to do",JLPT N1
孤立,こりつ,"isolation, helplessness",JLPT N1
懲りる,こりる,"to learn by experience, to be disgusted with",JLPT N1
凝る,こる,"to stiffen, to harden",JLPT N1
根気,こんき,"patience; perseverance, energy",JLPT N1
根拠,こんきょ,"basis, foundation",JLPT N1
混血,こんけつ,"mixed race, mixed parentage",JLPT N1
コンタクト (レンズ),コンタクト (レンズ),contact; contact lens,JLPT N1
昆虫,こんちゅう,"insect, bug",JLPT N1
根底,こんてい,"root, basis, foundation",JLPT N1
混同,こんどう,"confusion, mixing, merger",JLPT N1
コントラスト,コントラスト,contrast,JLPT N1
コントロール,コントロール,control,JLPT N1
コンパス,コンパス,compass,JLPT N1
根本,こんぽん,"foundation, root, base",JLPT N1
財,ざい,"fortune, riches",JLPT N1
再会,さいかい,"meeting again, reunion",JLPT N1
災害,さいがい,"calamity, disaster, misfortune",JLPT N1
細菌,さいきん,"bacillus, bacterium, germ",JLPT N1
細工,さいく,"work, craftsmanship, trick",JLPT N1
採掘,さいくつ,mining,JLPT N1
サイクル,サイクル,cycle,JLPT N1
採決,さいけつ,"vote, roll call",JLPT N1
再建,さいけん,(temple or shrine) rebuilding,JLPT N1
再現,さいげん,"reproduction, return, revival",JLPT N1
財源,ざいげん,"source of funds, resources, finances",JLPT N1
在庫,ざいこ,"stockpile, stock",JLPT N1
採算,さいさん,profit,JLPT N1
サイズ,サイズ,size,JLPT N1
再生,さいせい,"playback, regeneration, resuscitation",JLPT N1
財政,ざいせい,"economy, financial affairs",JLPT N1
最善,さいぜん,the very best,JLPT N1
採択,さいたく,"adoption, selection, choice",JLPT N1
栽培,さいばい,cultivation,JLPT N1
再発,さいはつ,"return, relapse, reoccurrence",JLPT N1
細胞,さいぼう,cell,JLPT N1
採用,さいよう,"use, adopt",JLPT N1
遮る,さえぎる,"to interrupt, to intercept, to obstruct",JLPT N1
さえずる,さえずる,"to sing, to chirp, to twitter",JLPT N1
冴える,さえる,"to be clear, to be bright, to be skillful",JLPT N1
竿,さお,"rod, pole (e.g., for drying laundry)",JLPT N1
栄える,さかえる,"to flourish, to prosper, to thrive",JLPT N1
差額,さがく,"balance, difference, margin",JLPT N1
杯,さかずき,wine cup,JLPT N1
逆立ち,さかだち,"handstand, headstand",JLPT N1
さきに (いぜん),さきに (いぜん),"before, earlier than, previously",JLPT N1
詐欺,さぎ,"fraud, swindle",JLPT N1
削減,さくげん,"cut, reduction",JLPT N1
錯誤,さくご,mistake,JLPT N1
作戦,さくせん,"military operations, tactics, strategy",JLPT N1
叫び,さけび,"shout, scream, outcry",JLPT N1
捧げる,ささげる,"to lift up, to give, to offer",JLPT N1
差し掛かる,さしかかる,"to come near to, to approach",JLPT N1
指図,さしず,"instruction, mandate",JLPT N1
差し出す,さしだす,"to present, to submit, to hold out",JLPT N1
差し支える,さしつかえる,"to interfere, to hinder",JLPT N1
授ける,さずける,"to grant, to award, to teach",JLPT N1
摩する,さする,"to rub, to stroke",JLPT N1
さぞ (さぞや。さぞかし),さぞ (さぞや。さぞかし),"I am sure, certainly, no doubt",JLPT N1
定まる,さだまる,"to become settled, to be fixed",JLPT N1
定める,さだめる,"to decide, to determine",JLPT N1
座談会,ざだんかい,"symposium, round-table discussion",JLPT N1
雑,ざつ,"rough, crude",JLPT N1
雑貨,ざっか,"miscellaneous goods, general goods",JLPT N1
殺人,さつじん,murder,JLPT N1
察する,さっする,"to guess, to sense, to judge",JLPT N1
雑談,ざつだん,"chatting, idle talk",JLPT N1
さっと,さっと,"suddenly, smoothly",JLPT N1
さっぱりする,さっぱりする,to refresh,JLPT N1
悟る,さとる,"to attain enlightenment, to understand",JLPT N1
最中,さなか,"in the middle of, midst",JLPT N1
座標,ざひょう,coordinates,JLPT N1
さほど,さほど,"not so, not that much",JLPT N1
サボる,サボる,to cut (skip) classes; to loaf on the job; to idle away one's time,JLPT N1
様,さま,state; way (a person does something); Mr. or Mrs.,JLPT N1
寒気,さむけ,"chill, shiver, cold",JLPT N1
侍,さむらい,samurai,JLPT N1
さも,さも,"with gusto, with satisfaction",JLPT N1
作用,さよう,"operation, effect, function",JLPT N1
さらう (こどもを～),さらう (こどもを～),to kidnap,JLPT N1
障る,さわる,"to hinder, to interfere with, to affect",JLPT N1
酸,さん,acid,JLPT N1
山岳,さんがく,mountains,JLPT N1
参議院,さんぎいん,House of Councilors,JLPT N1
産休,さんきゅう,maternity leave,JLPT N1
サンキュー,サンキュー,thank you,JLPT N1
残金,ざんきん,remaining money,JLPT N1
産後,さんご,"postpartum, after childbirth",JLPT N1
残酷,ざんこく,"cruelty, harshness",JLPT N1
産出,さんしゅつ,"yield, produce",JLPT N1
参照,さんしょう,"reference, consultation, consultation",JLPT N1
参上,さんじょう,"calling on, visiting",JLPT N1
残高,ざんだか,"(bank) balance, remainder",JLPT N1
サンタクロース,サンタクロース,Santa Claus,JLPT N1
桟橋,さんばし,"wharf, jetty, pier",JLPT N1
賛美,さんび,"praise, adoration, glorification",JLPT N1
山腹,さんぷく,"hillside, mountainside",JLPT N1
産婦人科,さんふじんか,maternity and gynecology department,JLPT N1
産物,さんぶつ,"product, result, fruit",JLPT N1
山脈,さんみゃく,mountain range,JLPT N1
仕上がり,しあがり,"finish, end, completion",JLPT N1
仕上,しあげ,"end, finishing touches",JLPT N1
仕上げる,しあげる,"to finish up, to complete",JLPT N1
飼育,しいく,"breeding, raising, rearing",JLPT N1
強いて,しいて,"to dare, to insist",JLPT N1
シート,シート,seat; sheet,JLPT N1
ジーパン,ジーパン,jeans,JLPT N1
仕入れる,しいれる,"to lay in stock, to replenish stock, to procure",JLPT N1
強いる,しいる,"to force, to compel, to coerce",JLPT N1
潮,しお,tide,JLPT N1
歯科,しか,dentistry,JLPT N1
自我,じが,"self, ego",JLPT N1
自覚,じかく,self-conscious,JLPT N1
仕掛,しかけ,"device, trick, mechanism",JLPT N1
仕掛ける,しかける,"to lay, to set, to wage",JLPT N1
しかしながら,しかしながら,"however, nevertheless",JLPT N1
色彩,しきさい,color,JLPT N1
式場,しきじょう,"ceremonial hall, place of ceremony (e.g., marriage)",JLPT N1
しきたり,しきたり,"custom, conventional practice, tradition",JLPT N1
事業,じぎょう,"project, enterprise, business",JLPT N1
軽蔑,けいべつ,"scorn, disdain",JLPT N1
経歴,けいれき,"personal history, career",JLPT N1
経路,けいろ,"course, route, channel",JLPT N1
けがらわしい,けがらわしい,"filthy, unfair",JLPT N1
劇団,げきだん,"troupe, theatrical company",JLPT N1
激励,げきれい,encouragement,JLPT N1
ゲスト,ゲスト,guest,JLPT N1
獣,けだもの,"beast, brute",JLPT N1
決,けつ,"decision, vote",JLPT N1
決意,けつい,"decision, determination",JLPT N1
結核,けっかく,tuberculosis,JLPT N1
決議,けつぎ,"resolution, vote, decision",JLPT N1
結合,けつごう,"combination, union",JLPT N1
決算,けっさん,"balance sheet, settlement of accounts",JLPT N1
月謝,げっしゃ,monthly tuition fee,JLPT N1
決勝,けっしょう,finals (in sports),JLPT N1
結晶,けっしょう,"crystal, crystallization",JLPT N1
結成,けっせい,formation,JLPT N1
結束,けっそく,"union, unity",JLPT N1
げっそり,げっそり,"being disheartened, losing weight",JLPT N1
決断,けつだん,"decision, determination",JLPT N1
月賦,げっぷ,monthly installment,JLPT N1
欠乏,けつぼう,shortage,JLPT N1
蹴飛ばす,けとばす,"to kick away, to kick (someone)",JLPT N1
けなす,けなす,to speak ill of,JLPT N1
煙たい,けむたい,"smoky, feeling awkward",JLPT N1
煙る,けむる,"to smoke (e.g., fire)",JLPT N1
家来,けらい,"retainer, retinue, servant",JLPT N1
下痢,げり,diarrhea,JLPT N1
権威,けんい,"authority, power, influence",JLPT N1
兼業,けんぎょう,holding two jobs at the same time,JLPT N1
原形,げんけい,"original form, base form",JLPT N1
原型,げんけい,"prototype, model, archetypal",JLPT N1
権限,けんげん,"power, authority, jurisdiction",JLPT N1
現行,げんこう,"present, current, in operation",JLPT N1
健在,けんざい,"in good health, well",JLPT N1
原作,げんさく,original work,JLPT N1
検事,けんじ,public prosecutor,JLPT N1
原子,げんし,atom,JLPT N1
元首,げんしゅ,"ruler, sovereign",JLPT N1
原書,げんしょ,original document,JLPT N1
懸賞,けんしょう,"offering prizes, winning, reward",JLPT N1
健全,けんぜん,"health, soundness, wholesome",JLPT N1
元素,げんそ,element,JLPT N1
同調,どうちょう,"sympathy, agree with, alignment",JLPT N1
到底,とうてい,(cannot) possibly,JLPT N1
動的,どうてき,"dynamic, kinetic",JLPT N1
尊い,とうとい,"precious, valuable, noble",JLPT N1
貴い,とうとい,"precious, valuable, noble",JLPT N1
同等,どうとう,"equality, equal, same rank",JLPT N1
堂々,どうどう,"magnificent, grand, impressive",JLPT N1
尊ぶ,とうとぶ,"to value, to prize, to esteem",JLPT N1
どうにか,どうにか,"in some way or other, one way or another",JLPT N1
投入,とうにゅう,"throw, investment, making (an electrical circuit)",JLPT N1
導入,どうにゅう,"introduction, bringing in, leading in",JLPT N1
当人,とうにん,"the one concerned, the said person",JLPT N1
同封,どうふう,"enclosure (e.g., in a letter)",JLPT N1
逃亡,とうぼう,escape,JLPT N1
冬眠,とうみん,"hibernation, winter sleep",JLPT N1
同盟,どうめい,"alliance, union, league",JLPT N1
どうやら,どうやら,"it seems like, somehow or other",JLPT N1
動力,どうりょく,"power, motive power, dynamic force",JLPT N1
登録,とうろく,"registration, register, record",JLPT N1
討論,とうろん,discussion; debate,JLPT N1
遠ざかる,とおざかる,to go far off,JLPT N1
遠回り,とおまわり,"detour, roundabout way",JLPT N1
トーン,トーン,tone,JLPT N1
とかく,とかく,"anyhow, anyway, in any case",JLPT N1
とがめる,とがめる,"to blame, to rebuke",JLPT N1
時折,ときおり,sometimes,JLPT N1
とぎれる,とぎれる,"to pause, to be interrupted",JLPT N1
研ぐ,とぐ,"to sharpen, to grind, to polish",JLPT N1
特技,とくぎ,special talent; skill,JLPT N1
独裁,どくさい,"dictatorship, despotism",JLPT N1
特産,とくさん,"specialty, special product",JLPT N1
独自,どくじ,"original, peculiar, characteristic",JLPT N1
特集,とくしゅう,"feature (e.g., newspaper, special edition, report)",JLPT N1
独占,どくせん,monopoly,JLPT N1
独創,どくそう,originality,JLPT N1
得点,とくてん,"score, points made",JLPT N1
特派,とくは,"send specially, special envoy",JLPT N1
特有,とくゆう,"characteristic (of, peculiar (to))",JLPT N1
とげ (をさす),とげ (をさす),thorn,JLPT N1
遂げる,とげる,"to accomplish, to achieve, to carry out",JLPT N1
～どころか,～どころか,"rather, far from",JLPT N1
年頃,としごろ,"age, marriageable age, adolescence",JLPT N1
戸締り,とじまり,"closing up, locking the doors",JLPT N1
途上,とじょう,"en/in route, half way",JLPT N1
土台,どだい,"foundation, base, basis",JLPT N1
途絶える,とだえる,"to stop, to cease, to come to an end",JLPT N1
特許,とっきょ,"special permission, patent",JLPT N1
特権,とっけん,"privilege, special right",JLPT N1
とっさに,とっさに,at once,JLPT N1
突如,とつじょ,"suddenly, all of a sudden",JLPT N1
とって,とって,"handle, grip, knob",JLPT N1
突破,とっぱ,"breaking through, breakthrough, penetration",JLPT N1
土手,どて,"embankment, bank",JLPT N1
届,とどけ,"report, notification, registration",JLPT N1
滞る,とどこおる,"to stagnate, to be delayed",JLPT N1
整える,ととのえる,"to put in order, to arrange, to adjust; to get ready, to prepare; to raise money",JLPT N1
止める,とどめる,"to end, to stop, to cease, to resign",JLPT N1
唱える,となえる,"to recite, to chant, to call upon",JLPT N1
殿様,とのさま,feudal lord,JLPT N1
土俵,どひょう,arena,JLPT N1
扉,とびら,"door, opening",JLPT N1
溝,どぶ,"ditch, drain, gap",JLPT N1
徒歩,とほ,"walking, going on foot",JLPT N1
土木,どぼく,public works,JLPT N1
とぼける,とぼける,"to play dumb, to feign ignorance, to play innocent, to have a blank facial expression; to play the fool; to be in one's dotage",JLPT N1
乏しい,とぼしい,"meager, scarce, hard up, poor",JLPT N1
富,とみ,"wealth, fortune",JLPT N1
富む,とむ,"to be rich, to become rich",JLPT N1
共稼ぎ,ともかせぎ,"working together, (husband and wife) earning a living together",JLPT N1
伴う,ともなう,"to accompany, to bring with",JLPT N1
共働き,ともばたらき,dual income (husband and wife both working),JLPT N1
ドライ,ドライ,dry,JLPT N1
ドライクリーニング,ドライクリーニング,dry cleaning,JLPT N1
ドライバー,ドライバー,"driver, screwdriver",JLPT N1
ドライブイン,ドライブイン,drive in,JLPT N1
トラブル,トラブル,trouble (sometimes used as a verb),JLPT N1
トランジスター,トランジスター,transistor,JLPT N1
とりあえず,とりあえず,"at once, first of all, for the time being",JLPT N1
取扱,とりあつかい,"treatment, handling, management",JLPT N1
取り扱う,とりあつかう,"to treat, to handle, to deal in",JLPT N1
鳥居,とりい,Shinto shrine archway,JLPT N1
取り替え,とりかえ,"swap, exchange",JLPT N1
取り組む,とりくむ,"to tackle, to engage in a bout, to come to grips with",JLPT N1
取締り,とりしまり,"control, crackdown, supervision",JLPT N1
取り締まる,とりしまる,"to crack down, to control, to supervise",JLPT N1
取り調べる,とりしらべる,"to investigate, to examine",JLPT N1
取り立てる,とりたてる,"to collect, to extort",JLPT N1
取り次ぐ,とりつぐ,"to act as an agent for, to announce (someone), to convey (a message)",JLPT N1
取り付ける,とりつける,"to furnish, to install; to get someone's agreement",JLPT N1
取り除く,とりのぞく,"to remove, to take away, to set apart",JLPT N1
取引,とりひき,"transactions, dealings, business",JLPT N1
取り巻く,とりまく,"to surround, to circle, to enclose",JLPT N1
取り混ぜる,とりまぜる,"to mix, to put together",JLPT N1
取り戻す,とりもどす,"to take back, to regain",JLPT N1
取り寄せる,とりよせる,"to order, to send away for",JLPT N1
ドリル,ドリル,drill,JLPT N1
副,とりわけ,"especially, above all",JLPT N1
とろける,とろける,melt; to be enchanted with,JLPT N1
鈍感,どんかん,"thickheadedness, stolidity",JLPT N1
とんだ,とんだ,"terrible, awful, serious, absolutely not",JLPT N1
度忘れ,どわすれ,"lapse of memory, forget for a moment",JLPT N1
問屋,とんや,wholesale store,JLPT N1
内閣,ないかく,"cabinet, (government)",JLPT N1
乃至,ないし,"from...to, between...and, or",JLPT N1
内緒,ないしょ,"secrecy, privacy, secret",JLPT N1
内心,ないしん,"innermost thoughts, real intention, inmost heart",JLPT N1
内蔵,ないぞう,internal organ; built-in,JLPT N1
ナイター,ナイター,"game under lights (e.g., baseball), night game",JLPT N1
内部,ないぶ,"interior, inside, internal",JLPT N1
内乱,ないらん,"civil war, domestic conflict",JLPT N1
内陸,ないりく,inland,JLPT N1
苗,なえ,rice seedling,JLPT N1
なおさら,なおさら,"all the more, still less",JLPT N1
流し,ながし,sink,JLPT N1
長々,ながなが,"long, drawn-out, very long",JLPT N1
中程,なかほど,"middle, midway",JLPT N1
渚,なぎさ,"water's edge, beach, shore",JLPT N1
嘆く,なげく,"to sigh, to lament, to grieve",JLPT N1
投げ出す,なげだす,"to abandon, to throw out",JLPT N1
仲人,なこうど,"go-between, matchmaker",JLPT N1
和やか,なごやか,"mild, calm, harmonious",JLPT N1
名残,なごり,"remains, traces, memory",JLPT N1
情け,なさけ,"sympathy, compassion",JLPT N1
情無い,なさけない,"miserable, pitiable, shameful",JLPT N1
情深い,なさけぶかい,"tender-hearted, compassionate",JLPT N1
詰る,なじる,"to rebuke, to scold, to tell off",JLPT N1
名高い,なだかい,"famous, celebrated, well-known",JLPT N1
雪崩,なだれ,avalanche,JLPT N1
懐く,なつく,to become emotionally attached,JLPT N1
名付ける,なづける,to name,JLPT N1
何気ない,なにげない,"casual, unconcerned",JLPT N1
なにとぞ,なにとぞ,"please, kindly, by all means",JLPT N1
なにより,なにより,"most, best",JLPT N1
ナプキン,ナプキン,napkin,JLPT N1
名札,なふだ,"name plate, name tag",JLPT N1
生臭い,なまぐさい,"smelling of fish or blood, fish or meat",JLPT N1
生温い,なまぬるい,"lukewarm, halfhearted",JLPT N1
生身,なまみ,"living flesh, flesh and blood, the quick",JLPT N1
鉛,なまり,lead (the metal),JLPT N1
滑らか,なめらか,"smoothness, glassiness",JLPT N1
嘗める,なめる,to lick; to experience; to make fun of,JLPT N1
悩ましい,なやましい,"seductive, melancholy, languid",JLPT N1
悩ます,なやます,"to bother, to harass, to molest",JLPT N1
悩み,なやみ,"trouble(s), worry, distress",JLPT N1
並びに,ならびに,and,JLPT N1
成り立つ,なりたつ,"to consist of; to be practical (logical, feasible, viable), to be concluded, to hold true",JLPT N1
なるたけ,なるたけ,"as much as possible, if possible",JLPT N1
慣れ,なれ,"practice, experience",JLPT N1
馴々しい,なれなれしい,"familiar, make free with",JLPT N1
～なんか,～なんか,in the least ~,JLPT N1
ナンセンス,ナンセンス,nonsense,JLPT N1
何だか,なんだか,"a little, somewhat, somehow",JLPT N1
なんだかんだ,なんだかんだ,something or other,JLPT N1
なんなり,なんなり,"anything, whatever",JLPT N1
荷,に,"load, baggage, cargo",JLPT N1
似通う,にかよう,to resemble closely,JLPT N1
にきび,にきび,"pimple, acne",JLPT N1
賑わう,にぎわう,"to prosper, to flourish, to be crowded with people",JLPT N1
憎しみ,にくしみ,hatred,JLPT N1
肉親,にくしん,"blood relationship, blood relative",JLPT N1
肉体,にくたい,"the body, the flesh",JLPT N1
逃げ出す,にげだす,"to run away, to escape from",JLPT N1
西日,にしび,westering sun,JLPT N1
滲む,にじむ,"to run, to blur, to spread",JLPT N1
にせ物,にせもの,"imitation, counterfeit",JLPT N1
日夜,にちや,"day and night, always",JLPT N1
荷造り,にづくり,"packing, baling, crating",JLPT N1
担う,になう,"to carry on shoulder, to bear (burden), to shoulder (gun)",JLPT N1
鈍る,にぶる,"to become less capable, to grow dull, to become blunt, to weaken",JLPT N1
にも関わらず,にもかかわらず,"in spite of, nevertheless",JLPT N1
ニュアンス,ニュアンス,nuance,JLPT N1
ニュー,ニュー,new,JLPT N1
入手,にゅうしゅ,"obtaining, coming to hand",JLPT N1
入賞,にゅうしょう,winning a prize or place (in a contest,JLPT N1
入浴,にゅうよく,"bathe, bathing",JLPT N1
尿,にょう,urine,JLPT N1
認識,にんしき,"recognition, cognizance",JLPT N1
妊娠,にんしん,"conception, pregnancy",JLPT N1
任務,にんむ,"duty, mission, task",JLPT N1
任命,にんめい,"appointment, nomination, ordination",JLPT N1
抜かす,ぬかす,"to omit, to leave out",JLPT N1
抜け出す,ぬけだす,"to slip out, to sneak away, to excel",JLPT N1
主,ぬし,"owner, master, god",JLPT N1
沼,ぬま,"swamp, bog, pond",JLPT N1
音色,ねいろ,"tone color, timbre",JLPT N1
値打ち,ねうち,"value, worth, price",JLPT N1
ネガ,ネガ,(photographic) negative,JLPT N1
寝かせる,ねかせる,"to put to bed, to lay down, to ferment",JLPT N1
ねじまわし,ねじまわし,screwdriver,JLPT N1
捩れる,ねじれる,"twist, strain",JLPT N1
妬む,ねたむ,"to be jealous, to be envious",JLPT N1
ねだる,ねだる,"to nag, to demand",JLPT N1
熱意,ねつい,"zeal, enthusiasm",JLPT N1
熱湯,ねっとう,boiling water,JLPT N1
熱量,ねつりょう,calorific value,JLPT N1
粘り,ねばり,"stickiness, viscosity",JLPT N1
粘る,ねばる,"to be sticky, to be adhesive, to persist, to stick to",JLPT N1
値引き,ねびき,"price reduction, discount",JLPT N1
根回し,ねまわし,making necessary arrangements,JLPT N1
眠たい,ねむたい,sleepy,JLPT N1
練る,ねる,"to knead, to work over, to polish up",JLPT N1
念,ねん,"sense, feeling, desire",JLPT N1
年賀,ねんが,"New Year's greetings, New Year's card",JLPT N1
念願,ねんがん,"one's heart's desire, earnest petition",JLPT N1
年号,ねんごう,"name of an era, year number",JLPT N1
燃焼,ねんしょう,"burning, combustion",JLPT N1
年長,ねんちょう,seniority,JLPT N1
燃料,ねんりょう,fuel,JLPT N1
年輪,ねんりん,annual tree ring,JLPT N1
ノイローゼ,ノイローゼ,neurosis (GER: Neurose),JLPT N1
農耕,のうこう,"farming, agriculture",JLPT N1
農場,のうじょう,farm,JLPT N1
農地,のうち,agricultural land,JLPT N1
納入,のうにゅう,"payment, supply",JLPT N1
逃す,のがす,"to let loose, to set free, to let escape",JLPT N1
逃れる,のがれる,to escape,JLPT N1
軒並,のきなみ,row of houses; uniformly,JLPT N1
望ましい,のぞましい,"desirable, hoped for",JLPT N1
乗っ取る,のっとる,"to capture, to occupy, to take over",JLPT N1
のどか,のどか,"tranquil, calm, quiet",JLPT N1
罵る,ののしる,"to speak ill of, to abuse",JLPT N1
延べ,のべ,"futures, credit (buying), stretching, total",JLPT N1
飲み込む,のみこむ,"to gulp down, to swallow deeply, to understand",JLPT N1
乗り込む,のりこむ,"to board, to get into (a car); to march into, to enter",JLPT N1
刃,は,"blade, sword",JLPT N1
～派,～は,"group, party, section (mil)",JLPT N1
バー,バー,bar,JLPT N1
把握,はあく,"grasp, catch, understanding",JLPT N1
パート,パート,part-time job,JLPT N1
廃棄,はいき,"disposal, abandon, discarding",JLPT N1
配給,はいきゅう,"distribution (e.g., films, rice",JLPT N1
ばい菌,ばいきん,"bacteria, germ(s)",JLPT N1
配偶者,はいぐうしゃ,spouse,JLPT N1
拝啓,はいけい,-- a formal greeting used at the beginning of a letter --,JLPT N1
背景,はいけい,"background, scenery, setting",JLPT N1
背後,はいご,"back, rear",JLPT N1
廃止,はいし,"abolition, repeal",JLPT N1
