jp_id,jp_sentence,en_id,en_sentence,n5,n4,n3,n2,n1
11244966,子供たちは、うんていで遊びました。,5485373,The children played on the monkey bars.,1,0,2,0,0
126710,遅れてすみません。,277380,Forgive me for being late.,0,0,1,0,0
9029054,子供が大っ嫌いなんだ。,2747369,I hate children.,2,0,1,0,1
98113,彼らはガン調査に従事している。,305589,They are engaged in cancer research.,0,1,2,1,1
204423,そんなことが本当であるはずがない。,41566,That can't be true.,1,0,1,0,0
196134,ほとんどの日本の大会社は、輸出に頼っている。,33310,Most big Japanese companies depend on exports.,4,2,1,1,0
1369121,使用後は必ずキャップをきちんとしめてください。,1397016,Please be sure to close the cap properly after use.,1,2,1,0,0
10692331,熊は灯油の匂いが大好きなんだよ。,10366256,Bears love the smell of kerosene.,1,0,1,2,1
393792,予想に反して楽に勝てましたね。,393793,"Contrary to expectations, they won with ease.",0,1,4,0,0
10550442,トムは喫茶店で働いています。,5629472,Tom works in a coffee shop.,0,2,1,1,0
174417,午後、雨になるでしょうか。,240052,Will it rain this afternoon?,3,0,0,0,0
6044870,YouTubeの登録には本名と住所が要ります。,6050897,YouTube registration requires a real name and an address.,2,1,3,1,0
99988,彼は望遠鏡に目を当てた。,303709,He put his eye to a telescope.,0,1,4,0,1
161905,私は６時に起きることにしている。,252611,I make it a rule to get up at six.,1,2,0,0,0
93529,彼女は４０代半ばで再婚した。,310178,She married again in her mid-forties.,2,1,2,1,0
93294,彼女はいつも何かしら不平ばかりを言っている。,310403,She is always complaining about something or other.,2,2,2,0,0
220608,この地域の失業はほぼないに等しい。,57930,Unemployment in this part of the country is virtually nonexistent.,0,2,2,1,0
102431,彼は大学教授というよりむしろ小学校の教師である。,301263,He is not so much a professor as a school teacher.,5,2,2,0,1
203142,だれも、彼がどうなったか知らない。,40378,Nobody knows what has become of him.,0,1,1,0,0
104366,彼は住所が変わった。,299325,He changed his address.,0,1,3,0,0
112375,彼はその問題とは関係ない。,291302,He has nothing to do with the matter.,0,2,3,0,0
1872179,心配しないで！,506446,Don't worry.,0,1,1,0,0
196200,ホテルの確認をしよう。,33377,Let's inquire about our hotel reservations.,0,0,2,0,0
10977055,スープがとんでもなく辛いんだ。,236789,The soup is terribly hot.,0,0,0,1,0
126695,遅れるなよ。,277394,Don't be late.,0,0,1,0,0
222765,この歌を聞くといつも子供のころを思い出す。,60095,This song always reminds me of my childhood.,3,2,1,0,0
8677376,トムと私、以前はコンサートにいっぱい行ったんだよ。,3619763,Tom and I used to go to a lot of concerts.,2,2,0,0,0
2724923,朝はどれだけ食べても太らないらしいですよ。,2725841,They say that you don't gain weight no matter how much you eat in the morning.,1,1,1,0,0
207390,その二つの考えはまったく別個のものだ。,44642,Those two ideas are quite distinct.,1,2,0,1,0
120953,彼がそうしたのは無作法であった。,283055,It was impolite of him to do so.,0,1,2,1,0
151343,私達は彼の術中にはまらないように注意しなければならない。,263213,We'll have to be careful not to play into his hands.,1,3,3,0,0
10906873,私がボストンに行きたがっていることをトムは知ってると思う？,3527761,Do you think Tom knows I want to go to Boston?,1,3,0,0,0
191217,以後こんなことはいたしません。,28379,I'll never do this again.,1,1,0,0,0
8983504,契約書、フランス語に訳したよ。,6344978,I translated the contract into French.,2,0,1,0,2
200699,どっか行け。,623565,Get lost!,1,0,0,0,0
178108,君の努力はいつかは実を結ぶだろう。,16960,Your efforts will bear fruit someday.,0,1,3,0,1
143625,水無しですますことはできない。,270766,We cannot do without water.,1,0,0,1,0
209559,その車は制限速度を超過している。,46821,The car is exceeding the speed limit.,1,1,4,1,0
93067,彼女はお母さんにおやすみのキスをした。,310642,She kissed her mother good night.,2,0,1,0,0
183255,彼は確かにいいやつだ。しかし信頼できないよ。,20378,"He is a good fellow, to be sure, but he isn't reliable.",0,0,4,0,0
94048,彼女の美しい服が私の注意を引いた。,309658,Her beautiful dress drew my attention.,1,4,3,0,0
99982,彼は冒険の誘惑を感じた。,303715,He felt the lure of adventure.,0,0,3,0,3
101096,彼は彼女が弟とデートしていることに腹を立てた。,302601,He resented that she was dating his brother.,1,2,3,0,0
